id,lon,lat
3163088314,-80.5291953,43.476494699999996
1928130822,-80.54337699999999,43.472641599999996
3725081643,-80.5482541,43.4754943
8477357313,-80.5322278,43.470595599999996
1863641305,-80.5486311,43.4728109
1976915106,-80.5440634,43.471754999999995
9991207498,-80.5508686,43.4732439
7875796596,-80.5294593,43.466744899999995
1503542063,-80.5433291,43.4658203
6923858623,-80.5429305,43.4637901
1551379717,-80.5466653,43.474791599999996
9999839768,-80.53745239999999,43.4766626
4211142330,-80.5430332,43.4760257
6993776873,-80.5301985,43.467371799999995
3726203961,-80.5424211,43.468246799999996
1572288294,-80.547012,43.4748545
1863686993,-80.54861919999999,43.4767334
3872192580,-80.54379809999999,43.4714144
8307786959,-80.54076599999999,43.472495099999996
7643481648,-80.549397,43.471145199999995
10572040812,-80.5317122,43.4736068
1436010177,-80.5507654,43.4707304
533769772,-80.5534516,43.4722534
2880932838,-80.5458987,43.4750218
8625246288,-80.53331829999999,43.473615699999996
1503542108,-80.5402659,43.4661221
11593973071,-80.5333028,43.475933
1436010114,-80.54568739999999,43.4718636
6672792889,-80.5364002,43.470379199999996
10081010238,-80.5385783,43.4630911
1435969026,-80.53990999999999,43.46857
1863682013,-80.5416843,43.4778096
1951555106,-80.5408745,43.4679499
339375677,-80.5436107,43.4725858
3872192592,-80.54131249999999,43.4704239
6450627424,-80.54634229999999,43.4732337
1435992382,-80.5375141,43.4698395
1976915044,-80.5404466,43.470110399999996
2882855396,-80.54248419999999,43.4727576
2754441252,-80.536822,43.4665567
8933905206,-80.55894479999999,43.467796899999996
8933878156,-80.558538,43.4679141
10261917442,-80.53340709999999,43.4742551
3872110764,-80.5419093,43.4758152
5569269330,-80.5307133,43.4659961
474770378,-80.5373209,43.4719383
1015447301,-80.533535,43.4624555
1606967757,-80.55797369999999,43.470359699999996
1664677580,-80.54615729999999,43.4672385
2888044252,-80.54281879999999,43.4727183
404788813,-80.5316943,43.4681499
2878722564,-80.5421437,43.4695032
9991207501,-80.54320849999999,43.4758545
1927722096,-80.54247079999999,43.473410699999995
1585292280,-80.5334436,43.471185899999995
474770452,-80.53732149999999,43.472798999999995
253262190,-80.5318114,43.4709244
1683662972,-80.53427289999999,43.4634518
5929649423,-80.5300072,43.4762655
1435948814,-80.5403552,43.469377699999995
298025667,-80.5419213,43.473565199999996
5512659959,-80.5468295,43.4694611
6949950484,-80.5378413,43.4754435
1551364965,-80.5443087,43.4773558
1613888717,-80.5415666,43.4644376
7344598162,-80.5296151,43.4710105
9987490227,-80.551423,43.4675679
294320554,-80.5465758,43.4650951
10572040864,-80.5328128,43.4734063
9536176187,-80.54006299999999,43.474239399999995
6906766349,-80.5289507,43.474638899999995
1606967831,-80.5476446,43.473396
1436010003,-80.5510211,43.4706282
8806103820,-80.53899009999999,43.4685603
9536176192,-80.53977859999999,43.473859499999996
1473880526,-80.5376294,43.4738921
1787991424,-80.5295596,43.4728559
4744233778,-80.5327087,43.472915
7613140832,-80.5441676,43.4705787
1613895028,-80.5378771,43.471213399999996
1015447277,-80.5361138,43.463632
4211142318,-80.5405679,43.472569899999996
6949950444,-80.53656509999999,43.4745929
1503542050,-80.54640619999999,43.4671592
7074160963,-80.542434,43.4725125
